definiendum,,tenses,sanskrit,english1,english2,english-others,definition-tibetan,definition-english,divisions-tibetan,divisions-english,synonyms-tibetan,synonyms-english,comments,example-tibetan1,example-tibetan2,example-tibetan3,example-tibetan4,example-tibetan5,example-tibetan6,example-english1,example-english2,example-english3,example-english4,example-english5,example-english6
na bar byed pa ,ན་བར་བྱེད་པ་,,{C}bādhyate,sicken,,{C}is oppressed,,,,,,,,,,,,,,,,,,,
na mo ,ན་མོ་,,namaḥ,[transliteration of sanskrit word for name]; homage,,,,,,,,,,,,,,,,,,,,,
na tsha ,ན་ཚ་,,,[pain-hot]; pain; ache; illness; sickness,,,,,,,,,,,,,,,,,,,,,
na bza' ,ན་བཟའ་,,{LCh}cīvara; {C}nivasana,clothing; dress; clothes,,{C}undergarment,,,,,,,,,,,,,,,,,,,
na yang ,ན་ཡང་,,,whereas{BJ 19.6},,,,,,,,,,,,,,,,,,,,,
na re ,ན་རེ་,,,non-case particle preceding a statement of opinion: someone     ,,,,,,,,,"{PH} Wilson (p.671) gives ""na re"" as a syntactic particle that ""marks a subject which is the source of an opinion or a statement""",,,,,,,,,,,,
na le sham ,ན་ལེ་ཤམ་,,{L}marica,pepper,,,,,,,,,,,,,,,,,,,,,
nag ,ནག་,,kṛṣṇa; {MSA}mun nag = tamaḥ-prakāra,darkness; black,,,,,,,,,,,,,,,,,,,,,
nag po ,ནག་པོ་,,"{LCh,C}kṛṣṇa; {LCh}kāla; {LCh}asita",black,,{C}dark,,,,,,,,,,,,,,,,,,,
nag po nye bar skyed pa ,ནག་པོ་ཉེ་བར་སྐྱེད་པ་,bskyed  skyed  bskyed  skyed ,{C}kṛṣṇāhijātika,,,{C}a mere viper,,,,,,,,,,,,,,,,,,,
nag po'i rtsi lag ,ནག་པོའི་རྩི་ལག་,,{C}kṛṣṇa-bandhu,,,{C}kinsman of the Darkness,,,,,,,,,,,,,,,,,,,
nag po'i rang bzhin can ,ནག་པོའི་རང་བཞིན་ཅན་,,{C}kṛṣṇa-nirjātika,having a dark nature,,{C}blackguard,,,,,,,,,,,,,,,,,,,
nags ,ནགས་,,{C}vana,forest,,{C}woods; thicket,,,,,,,,,,,,,,,,,,,
nags kyi tshal ,ནགས་ཀྱི་ཚལ་,,vana,[forest-of-grove]; forest,,,,,,,,,,,,,,,,,,,,,
nags khrod ,ནགས་ཁྲོད་,,{L}vana,woods; forest,,,,,,,,,,,,,,,,,,,,,
nags 'dab ,ནགས་འདབ་,,{C}vana-prastha,,,{C}woods; forest; jungle,,,,,,,,,,,,,,,,,,,
nags tshal ,ནགས་ཚལ་,,"{LCh,C,MSA}vana; {C}vanas-pati",forest; grove,,{C}wood(s); thicket; tree,,,,,,,,,,,,,,,,,,,
nags tshal phun sum tshogs ,ནགས་ཚལ་ཕུན་སུམ་ཚོགས་,,{C}vana-sampada,,,{C}woods; groves,,,,,,,,,,,,,,,,,,,
nang ,ནང་,,"{LCh,MSA}adhyātma; {MSA}adhyātman; {MSA}ādhyātmika; {MSA}vivaraka; {C}madhya",in; internal; inside; interior; house,,{C}inner; inward; subjective; middle; middling,,,,,,,,,,,,,,,,,,,
nang gi ,ནང་གི་,,{C}ātmika; {C}adhyātman,internal,,{C}inner; inward; in itself; subjective,,,,,,,,,,,,,,,,,,,
nang gi skye mched drug ,ནང་གི་སྐྱེ་མཆེད་དྲུག་,,{MSA}ṣaḍ-ādhyātmika ... āyatana,six internal sources; internal sense-spheres,,,,,dbye ba/ 1 mig gi dbang po/ 2 rna ba'i dbang po/ 3 sna'i dbang po/ 4 lce'i dbang po/ 5 lus kyi dbang po/ 6 yid kyi dbang po/,"Div.: 1) eye sense power, 2) ear sense power, 3) nose sense power, 4) tongue sense power, 5) body sense power, and 6) mental sense power",,,,,,,,,,,,,,,
nang gi skye mched rnams ,ནང་གི་སྐྱེ་མཆེད་རྣམས་,,{MV}ādhyātmikāny āyatanāni,internal sources,,,,,,,,,,,,,,,,,,,,,
nang gi 'du byed rnams skad cig ma nyid ,ནང་གི་འདུ་བྱེད་རྣམས་སྐད་ཅིག་མ་ཉིད་,,{MSA}ādhyātmikānāṃ saṃskārāṇāṃ kṣaṇikatvaṃ,momentariness of internal produced phenomena,,,,,,,,,,,,,,,,,,,,,
nang gi rnam par g.yeng ba,ནང་གི་རྣམ་པར་གཡེང་བ,,{MV}adhyātma-vikṣepa,internal distraction ?  {T},,,,,,,,,,,,,,,,,,,,,
nang gi bem po ,ནང་གི་བེམ་པོ་,,ādhyātmika-kanthā ,internal matter,,internal thing,mtshan nyid/  skyes bu'i rgyud kyis bsdus pa'i rdul du grub pa/,Definition: atomically established within the continuum of beings,dbye ba/  1 mig gi dbang po/ 2 rna ba'i dbang po/ 3 sna'i dbang po/ 4 lce'i dbang po/ 5 lus kyi dbang po/,Divisions: (1) eye sense-power; (2) ear sense-power; (3) nose sense-power; (4) tongue sense-power; (5) bodily sense-power,,,"Comment: This is one of the two divisions of matter (bem po, kanthā); the other is external matter (phyi'i bem po).",,,,,,,,,,,,
nang gi 'byor ba lnga ,ནང་གི་འབྱོར་བ་ལྔ་,,,five inner fortunes,,,,,dbye ba/ 1 mi yin pa/ 2 yul dbus su skye ba/ 3 dbang bo tshang ba/ 4 las kyi mtha' ma log pa/ 5 gnas la dad pa/,"Div.: 1) Birth as a human, 2) Birth in a center of Buddhist teaching, 3) Possessing sound faculties, 4) Freedom from having done any of the five heinous crimes, 5) Faith in the doctrine",,,Comment: Same as (rang 'byor lnga).  {PH} I added the Tibetan from Gön-chok-jik-may-w#ang-b#o,,,,,,,,,,,,
nang gi gzugs ,ནང་གི་གཟུགས་,,ādhyātmika-rūpa,internal form,,,mtshan nyid/  skyes bu'i shes rgyud kyis bsdus pa'i gzugs/,Definition: form included/contained within the mental continuum of beings,,,,,"Comment: This is one of the two divisions of form (gzugs, rūpa): internal form (nang gi gzugs) and external form (phyi'i gzugs).",,,,,,,,,,,,
nang stong nyid ,ནང་སྟོང་ཉིད་,,{C}adhyātma-śūnyatā,emptiness of the internal,,{C}emptiness of inward elements,,,,,,,,,,,,,,,,,,,
nang stong pa nyid ,ནང་སྟོང་པ་ཉིད་,,{C}ādhyātmika-śūnyatā; {MV}adhyātma-śūnyatā,inner emptiness,,{C}emptiness of inward elements; emptiness of the subject,,,,,,,,,,,,,,,,,,,
nang dang phyi ,ནང་དང་ཕྱི་,,{MSA}ādhyātmika-bāhya,inner and outer,,,,,,,,,,,,,,,,,,,,,
nang du ,ནང་དུ་,,{MSA}pratyātmaṃ,internally; within,,,,,,,,,,,,,,,,,,,,,
nang du 'dus par byas nas ,ནང་དུ་འདུས་པར་བྱས་ནས་,'du  'du/'dud  'dus  'dus ,{C}antar-gata,,,{C}included; contained,,,,,,,,,,,,,,,,,,,
nang du ldog pa ,ནང་དུ་ལྡོག་པ་,ldog  ldog  ldogs  ldogs ,,reverse inside; {T} reverse internally ,,,,,,,,,,,,,,,,,,,,,
nang du gnas pa ,ནང་དུ་གནས་པ་,,{MSA}adhyātma-sthiti,abide inside,,,,,,,,,,,,,,,,,,,,,
nang du 'dzin pa ,ནང་དུ་འཛིན་པ་,gzung  'dzin  bzung  zungs ,,holding inside,,,,,,,,,,,,,,,,,,,,,
nang du yang dag 'jog la ,ནང་དུ་ཡང་དག་འཇོག་ལ་,,{C}pratisaṃlāna,,,{C}meditative seclusion,,,,,,,,,,,,,,,,,,,
nang du yang dag par 'jog pa ,ནང་དུ་ཡང་དག་པར་འཇོག་པ་,,{C}pratisaṃlayana (=kāya-ādi-vivekaḥ); {L}pratisaṃlāna,,,{C}seclusion; retiring for meditation; meditative seclusion,,,,,,,,,,,,,,,,,,,
nang du yang dag bzhag pa ,ནང་དུ་ཡང་དག་བཞག་པ་,,{C}pratisaṃlayana {=kāya-ādi-vivekaḥ); {L}pratisaṃlāna,,,{C}seclusion; retiring for meditation; meditative seclusion,,,,,,,,,,,,,,,,,,,
nang du rab gnas ,ནང་དུ་རབ་གནས་,,{MSA}adhyātma-saṃstha,abide internally,,,,,,,,,,,,,,,,,,,,,
nang nas ,ནང་ནས་,,,[inside-from]; from among; from inside,,,,,,,,,,,,,,,,,,,,,
nang nub nang nub cing rim gro bya ba'i don du 'dong bar byed ,ནང་ནུབ་ནང་ནུབ་ཅིང་རིམ་གྲོ་བྱ་བའི་དོན་དུ་འདོང་བར་བྱེད་,,{C}sāyaṃprātar-upasthānāya-gacchati,,,{C}is at all times ready to serve him,,,,,,,Is nang nub supposed to be repeated in Entry?? {T},,,,,,,,,,,,
nang pa ,ནང་པ་,,,Insider [i.e. Buddhist]; Buddhist [Insider],,,,,,,,,,,,,,,,,,,,,
nang pa sangs rgyas pa'i chos ,ནང་པ་སངས་རྒྱས་པའི་ཆོས་,,,Buddhist religion; Buddhist doctrine,,,,,,,,,,,,,,,,,,,,,
nang dbyings ,ནང་དབྱིངས་,,,internal expanse,,,,,,,,,,,,,,,,,,,,,
nang tshan ,ནང་ཚན་,,,inner divisions; set{Gön-chok},,,,,,,,,,,,,,,,,,,,,
nang rab tu dwang ba ,ནང་རབ་ཏུ་དྭང་བ་,,adhyātmasamprasāda,internal clarity,,,,,,,,,,,,,,,,,,,,,
nang rig pa ,ནང་རིག་པ་,,{MSA}adhyātma-vidyā,internal awareness,,,,,,,,,,,,,,,,,,,,,
nang la ,ནང་ལ་,,{C}abhyantara,,,{C}interior; within,,,,,,,,,,,,,,,,,,,
nang la rab tu gnas pa ,ནང་ལ་རབ་ཏུ་གནས་པ་,,{MSA}adhyātma-saṃstha,abide within,,,,,,,,,,,,,,,,,,,,,
nad ,ནད་,,"{C,MSA}roga; {C,MSA}vyādhi; {C}glānya",disease; illness; sickness,,,,,,,,,,,,,,,,,,,,,
nad bcas par ,ནད་བཅས་པར་,,{C}savyādhi,diseased; ill,,{C}full of diesases,,,,,,,,,,,,,,,,,,,
nad nyung ba ,ནད་ཉུང་བ་,,{C}alpa-ābādhatā,little illness,,{C}free from sickness; rarely oppressed by sickness,,,,,,,,,,,,,,,,,,,
nad pa ,ནད་པ་,,{MSA}ātura,diseased; ill; sick person; patient,,,,,,,,,,,,,,,,,,,,,
nad pa'i tshogs kyi ,ནད་པའི་ཚོགས་ཀྱི་,,{C}āturasvaroga,collection of diseases,,{C}a multitude of ailments,,,,,,,,,,,,,,,,,,,
nad rab tu zhi bar byed pa ,ནད་རབ་ཏུ་ཞི་བར་བྱེད་པ་,,{MSA}vyādhi-śamana,thorough pacification of illness,,,,,,,,,,,,,,,,,,,,,
nan gyis ,ནན་གྱིས་,,,certainly,,,,,,,,,,,,,,,,,,,,,
nan tan ,ནན་ཏན་,,{C}pratipatti,earnest; ardent,,{C}progressive path; progress to,,,,,,,,,,,,,,,,,,,
nan tan du ,ནན་ཏན་དུ་,,,earnestly; ardently,,,,,,,,,,,,,,,,,,,,,
nan tan du bya ba ,ནན་ཏན་དུ་བྱ་བ་,,{C}pratipattavya (=pratipadyate),,,{C}should progress,,,,,,,,,,,,,,,,,,,
nan tan du byed pa ,ནན་ཏན་དུ་བྱེད་པ་,,{C}pratipadyate,,,{C}progress; hasten towards; promise; behave,,,,,,,,,,,,,,,,,,,
nam ,ནམ་,,,or; and; when; time,,,,,,,,,nam is also used as a question particle; see example 3,,,,,,,,,,,,
nam mkha' ,ནམ་མཁའ་,,"{LCh,C,MSA}ākāśa; {C}abhyavakāśa; {C}kha; {C}gagana",space; sky,,{C}open space; open place; empty space; firmament,,,,,,,,,,,,,,,,,,,
nam mkha' kun song ,ནམ་མཁའ་ཀུན་སོང་,song  song  song  song ,{MSA}ambara ... sarvagata,going everywhere in space,,,,,,,,,,,,,,,,,,,,,
nam mkha' ji ltar ,ནམ་མཁའ་ཇི་ལྟར་,,{C}nabha,,,{C}space; sky,,,,,,,,,,,,,,,,,,,
nam mkha' rten ma mchis pa ,ནམ་མཁའ་རྟེན་མ་མཆིས་པ་,,{C}ākāśa-apratiṣṭhāna,,,{C}(when) space can give no ground for support,,,,,,,,,,,,,,,,,,,
nam mkha' lta bu ,ནམ་མཁའ་ལྟ་བུ་,,{MV}ākāśopamatā; {C}gagana-kalpa; {C}gagana-kalpatva,space-like,,{C}fashioned like the firmament,,,,,,,,,,,,,,,,,,,
nam mkha' lta bu'i mnyam bzhag ,ནམ་མཁའ་ལྟ་བུའི་མཉམ་བཞག་,,,space-like equipoise,,,,,,,,,,,,,,,,,,,,,
nam mkha' ltar chags pa med pa'i mtshan nyid ,ནམ་མཁའ་ལྟར་ཆགས་པ་མེད་པའི་མཚན་ཉིད་,,{C}ākāśa-asaṅga-lakṣaṇa,space-like character of non-attachment,,"{C}like space, marked with non-attachment",,,,,,,,,,,,,,,,,,,
nam mkha' mtha' yas ,ནམ་མཁའ་མཐའ་ཡས་,,{N}ākāśānantya,limitless space [first of the four formless absorptions],,,,,,,,,,,,,,,,,,,,,
nam mkha' mtha' yas skye mched ,ནམ་མཁའ་མཐའ་ཡས་སྐྱེ་མཆེད་,,{L}ākāśānantyāyatana,sense-field of limitless space,,,,,,,,,,,,,,,,,,,,,
nam mkha' mthong ,ནམ་མཁའ་མཐོང་,,{C}ākāśa-dṛṣṭu,see space,,{C}a vision in space,,,,,,,,,,,,,,,,,,,
nam mkha' ma mchis pa ,ནམ་མཁའ་མ་མཆིས་པ་,,{C}ākāśa-asatta,,,{C}space is not something that is,,,,,,,,,,,,,,,,,,,
nam mkha' mdzod ,ནམ་མཁའ་མཛོད་,,{C}gaganagañja,Gaganagañja [p.n. of a Bodhisattva],,,,,,,,,,,,,,,,,,,,,
nam mkha' la ,ནམ་མཁའ་ལ་,,{C}vaihāyasa(m); {C}antarīkṣa,in space; in the sky,,{C}nto the air; intermediate space/realm; air; firmament,,,,,,,,,,,,,,,,,,,
nam mkha' la sogs pa 'dus ma byas ,ནམ་མཁའ་ལ་སོགས་པ་འདུས་མ་བྱས་,'du  'du/'dud  'dus  'dus ,{MSA}asaṃskṛta ... ākāśādika,"non-produced phenomena, space and so forth",,,,,,,,,,,,,,,,,,,,,
nam mkha'i khams de dang ,ནམ་མཁའི་ཁམས་དེ་དང་,,{C}ākāśa-dhātu,realm of space,,,,,,,,,Check entry (+de dang) ?? {T},,,,,,,,,,,,
nam mkha'i chos ,ནམ་མཁའི་ཆོས་,,{MSA}dharmākāśa,phenomena of space,,,,,,,,,,,,,,,,,,,,,
nam mkha'i dang mnyam pa ,ནམ་མཁའི་དང་མཉམ་པ་,,{C}kha-samatā,sameness of space,,,,,,,,,,,,,,,,,,,,,
nam mkha'i lding ,ནམ་མཁའི་ལྡིང་,,{C}garuḍa,Garuḍa,,,,,,,,,the Garuḍa is a golden winged bird who is the vehicle of Viṣṇu and the lord of the winged race,,,,,,,,,,,,
nam mkha'i mdzod ,ནམ་མཁའི་མཛོད་,,{MSA}gagana-garbha,Gagana-garbha [p.n. of a Bodhisattva],,,,,,,,,,,,,,,,,,,,,
nam mkhar ,ནམ་མཁར་,,{C}gagana,in the sky; in space,,{C}sky; firmament,,,,,,,,,,,,,,,,,,,
nam mkhar 'gyur ba ,ནམ་མཁར་འགྱུར་བ་,'gyur  'gyurd  gyur  gyurd ,{C}ākāśi-bhavati,,,{C}become like space,,,,,,,,,,,,,,,,,,,
nam mkhar gnas pa ,ནམ་མཁར་གནས་པ་,,{C}ākāśa-niśrita,abide in space,,{C}supported by the ether,,,,,,,,,,,,,,,,,,,
nam grol lam ,ནམ་གྲོལ་ལམ་,'grol  'grold  grol  grold ,vimuktimārga,path of release,,,,,,,,,,,,,,,,,,,,,
nam 'chi mi nges pa ,ནམ་འཆི་མི་ངེས་པ་,,,uncertainty of the time of death{N},,,,,,,,,,,,,,,,,,,,,
nam zhig ,ནམ་ཞིག་,,,at the time; when,,,,,,,,,,,,,,,,,,,,,
nam yang ,ནམ་ཡང་,,{C}kadāci(t); {C}jātu,ever; with negative: never,,{C}never again,,,,,,,,gang zhig 'khor 'das chos rnams thams cad kyi/  rgyu 'bras nam yang bslu ba med mthong zhing //,,,,,,Whoever sees that the cause and effect of all phenomena of cyclic existence and nirvana is never controvertible and ... {Three Principal Aspects},,,,,
nam yang mi skye ba ,ནམ་ཡང་མི་སྐྱེ་བ་,,{MSA}punar anutpattiḥ,not arise again,,,,,,,,,,,,,,,,,,,,,
nam mkha' ,ནམ་མཁའ་,,ākāśa,space,,,,,,,,,,,,,,,,,,,,,
na'ang ,ནའང་,,,even it; even if,,,,,,,,,,skyes na'ang ,,,,,,even if one generates ...,,,,,
nas ,ནས་,,,(1) ablative particle: from; than(2) barley,,,,,,,,,,nas dang las gnyis 'byung khungs dang ,,,,,,the two -- nas and las -- are the ablative particles{Y},,,,,
nas ... bar ,"ནས་[#ERROR 130: The tsheg bar (""syllable"") {...} is essentially nothing.]་བར་",,,ranging from ... to ...,,,,,,,,,,gzugs 'dzin yid mngon nas reg bya 'dzin pa'i yid mngon gyi bar lnga ,,,,,,there are the five ranging from those mental direct perceivers apprehending forms to mental direct perceivers apprehending tangible objects,,,,,
nas bzung ste ,ནས་བཟུང་སྟེ་,,{C}ārabhya; {C}upadāya (=adhikṛtya),,,{C}begin(ing) from; beginning with; take hold on; about; concerning; relevant to; starting from; having turned his mind to; stimulated by; initially founded on; if I take into consideration; following on; on account of;  with reference to; motivated by; with the help of; where they began with; directed on; successively,,,,,,,,,,,,,,,,,,,
ni ,ནི་,,,[a separative particle; non-case particle sets off subject or topic]  ,,,,,,,,,,ni sgra dgar dang brnan pa'o ,dang po ni srid pa tsam yin gyi ,,,,,"the syllable, ni, separates and adds on{Y}",the first hardly ever occurs,,,,
ni gu ma ,ནི་གུ་མ་,,,Niguma [p.n.],,,,,,,,,"Indian female tantric siddhā, ""sister"" of Naropa who married him, helped him to renounce the world and herself became a tenth ground bodhisattva and is now a Buddha; founded and now protects the Shang-b#a (zhang pa) lineage of G#a-gyü-b#a (bka' brgyud pa); taught Kyung-b#o-nen-jor (khyung po rnal 'byor) as a sky-goer (mkha' 'gro ma, dākiṇī) at a cemetery at Soṣa; gave him six yogas, which served as the foundation of the school",,,,,,,,,,,,
nu ,ནུ་,,,breasts; teat       ,,,,,,,nu ma ,,,be 'u skyes ma thag nu zho nu bar rtsol pa dang,,,,,,a calf who has just been born seeks the milk of the teat{LWT 24},,,,,
nu ma ,ནུ་མ་,,,breasts; teat,,,,,,,,,,,,,,,,,,,,,
nub ,ནུབ་,,,disappearance; west       ,,,,,,,,,,stong nyid la gnyis snang nub pa ,,,,,,the disappearance of dualistic appearance with respect to emptiness,,,,,
nub kyi ri bo pa ,ནུབ་ཀྱི་རི་བོ་པ་,,aparaśailas,Aparaśailas [p.n.],,,,,,,,,,,,,,,,,,,,,
nub pa ,ནུབ་པ་,,{C}astaṃ-gama,disappearance; west,,{C}oing to rest,,,,,,,,,,,,,,,,,,,
nub ba lang spyod ,ནུབ་བ་ལང་སྤྱོད་,spyad  spyod  spyad  spyod ,aparagodānīya,the western continent of Godānīya,,,,,,,,,"Comment: In Buddhist cosmology there are four large continents, each of which has two smaller continents (gling phran brgyad) next to it: In the center, is the monarch of mountains, ri rab (meru). The four continents and eight smaller continents are (1) shar lus 'phags po (videha), the eastern continent ""land of [those with] superior/large bodies"" with lus (deha) and lus 'phags (videha); (2) lho 'dzam bu gling (jambudvīpa), the southern continent ""Jambu-tree land"" with rnga yab (cāmara) and rnga yab gzhan (aparacāmara); (3) nub ba blang spyod (godanīya) the western continent ""land of using cattle"" with g.yo ldan (sāthā) and lam mchog 'gro (uttaramantriṇa); (4) byang sgra mi snyan (kuru), the northern continent ""land of unpleasant sound"" with sgra mi snyan (kurava) and sgra mi snyan kyi zla (kaurava). Surrounding all of these is an outer rim of iron mountains.",,,,,,,,,,,,
nub par gyur ,ནུབ་པར་གྱུར་,,{C}antardhīyate,,,{C}vanish,,,,,,,,,,,,,,,,,,,
nub par gyur to ,ནུབ་པར་གྱུར་ཏོ་,,{C}antardhatte,,,{C}disappear; vanish,,,,,,,,,,,,,,,,,,,
nub par gyur ba ,ནུབ་པར་གྱུར་བ་,,{C}antardhatte,,,{C}disappear; vanish,,,,,,,,,,,,,,,,,,,
nub par 'gyur ,ནུབ་པར་འགྱུར་,,{MSA}astaṃ-gama; {C} antardhatte,disappear; vanish,,,,,,,,,,,,,,,,,,,,,
nub par 'gyur ba ,ནུབ་པར་འགྱུར་བ་,,{C}antardhatte,,,{C}disappear; vanish,,,,,,,,,,,,,,,,,,,
nub phyogs ,ནུབ་ཕྱོགས་,,,western direction; west,,,,,,,,,,,,,,,,,,,,,
nur ba ,ནུར་བ་,,{C}sīdayati,,,{C}despair,,,,,,,,,,,,,,,,,,,
nus ,ནུས་,,{C}prabhavati; {C}prasahate (=na prabhaviṣyati); {C}śakya; {MV}śak-; {MV}sāmarthya; {C}pratibala,ability; able; potency; power; capacity,,{C}be able to; is powerless; capable of enduring; is possible; be able; can; lends itself to; capable; able to; competent,,,,,,,,,,,,,,,,,,,
nus khyad par can ,ནུས་ཁྱད་པར་ཅན་,,,a special capacity,,,,,,,,,,,,,,,,,,,,,
nus pa ,ནུས་པ་,,"{LCh,C,MSA}śakya; {MSA}śakti; {LCh}samartha; {LCh,MSA}sāmarthya; {GD:88} śaktiḥ; bāla",ability; potency; power; capacity,,{C}is possible; be able; can; lends itself to,,,,,,,,,,,,,,,,,,,
nus pa ci yang ma mchis pa ,ནུས་པ་ཅི་ཡང་མ་མཆིས་པ་,,{C}(akiṃ cit) sam-artha,,,{C}incapable of doing anything,,,,,,,,,,,,,,,,,,,
nus pa cung zad kyang med la ,ནུས་པ་ཅུང་ཟད་ཀྱང་མེད་ལ་,,{C}akiṃcit-samartha,,,{C}incapable of doing anything,,,,,,,,,,,,,,,,,,,
nus pa dang ldan pa ,ནུས་པ་དང་ལྡན་པ་,,{MSA}śakti-yoga,possessing the capacity; one who possesses a capacity{Lati},,,,,,,,,,,,,,,,,,,,,
nus ma yin ,ནུས་མ་ཡིན་,,{C}prabhavati,unable; powerless,,{C}be able to,,,,,,,,,,,,,,,,,,,
ne tso ,ནེ་ཙོ་,,,parrot,,,,,,,,,,,,,,,,,,,,,
ne la ,ནེ་ལ་,,,kite,,,,,,,,,Comment: a big black bird that sweeps down on rabbits or small sheep and carries them away,,,,,,,,,,,,
nem nu ,ནེམ་ནུ་,,{C}kāṅkṣa,,,{C}doubt,,,,,,,,,,,,,,,,,,,
nem nur ,ནེམ་ནུར་,,{C}vimati; {C}kāṅkṣati; {C}kāṅkṣate; {C}kāṅkṣāyitva,,,{C}perplexity; doubt; uncertainty; consternation; hesitates; desires; doubts; (state of) hesitation; perplexed,,,,,,,,,,,,,,,,,,,
nem nur bgyid ,ནེམ་ནུར་བགྱིད་,bgyi  bgyid  bgyis  gyis ,{C}kāṅkṣati; {C} kāṅkṣate,,,{C}hesitates; desires; doubts,,,,,,,,,,,,,,,,,,,
nem nur byed cing ,ནེམ་ནུར་བྱེད་ཅིང་,,{C}kāṅkṣāyitva,,,{C}(state of) hesitation; perplexed,,,,,,,,,,,,,,,,,,,
nem nur mi mnga' ba ,ནེམ་ནུར་མི་མངའ་བ་,mnga'  mnga'  mnga'  mnga' ,{C}niḥkāṅkṣa,,,{C}free from doubts,,,,,,,,,,,,,,,,,,,
nem nur mi byed cing ,ནེམ་ནུར་མི་བྱེད་ཅིང་,,{C}niṣkāṅkṣan,,,{C}free from hesitations,,,,,,,,,,,,,,,,,,,
